"time","event"
-0.050668475870043,"origin"
3.28620777260001,"occurrence"
3.93243630820001,"occurrence"
4.8616624186,"occurrence"
5.08390387180001,"occurrence"
4.21716670140001,"occurrence"
6.1654656167,"occurrence"
6.1272396577,"occurrence"
5.6671187427,"occurrence"
6.6781755839,"occurrence"
6.7309433727,"occurrence"
4.13775358220001,"occurrence"
4.90123380340001,"occurrence"
6.3760982457,"occurrence"
4.95072143650001,"occurrence"
5.86111226020001,"occurrence"
6.2566071057,"occurrence"
6.13460270569998,"occurrence"
3.41238668900001,"occurrence"
3.9112059109,"occurrence"
3.8155911331,"occurrence"
6.36978545850001,"occurrence"
6.21486413129999,"occurrence"
6.47296800369998,"occurrence"
6.63250465759999,"occurrence"
4.7975574564,"occurrence"
5.93348927740001,"occurrence"
4.0992370499,"occurrence"
3.9381448181,"occurrence"
4.8549583086,"occurrence"
5.0690045979,"occurrence"
6.55425861669999,"occurrence"
4.8842822781,"occurrence"
5.91320791909999,"occurrence"
6.03144045579999,"occurrence"
6.4283538005,"occurrence"
6.6886821291,"occurrence"
6.17253747579999,"occurrence"
6.54818982259999,"occurrence"
6.49619370789998,"occurrence"
5.65381863909999,"occurrence"
6.39555506419999,"occurrence"
5.85620804569999,"occurrence"
6.60580915129999,"occurrence"
6.92150613319999,"occurrence"
5.5653299783,"occurrence"
6.4165105365,"occurrence"
6.89622732539999,"occurrence"
6.51161160349999,"occurrence"
5.49595946329999,"occurrence"
6.62853785539999,"occurrence"
5.68024441139999,"occurrence"
5.00884129529999,"occurrence"
5.22523946739999,"occurrence"
6.50222965769999,"occurrence"
4.50982625429999,"occurrence"
6.70724795089998,"occurrence"
5.16345888380001,"occurrence"
5.8863822902,"occurrence"
5.94231772020001,"occurrence"
6.91448130130001,"occurrence"
6.44699898660001,"occurrence"
6.0054253125,"occurrence"
6.356225506,"occurrence"
6.86131352350001,"occurrence"
6.2789872524,"occurrence"
6.88548969520001,"occurrence"
5.76157694560001,"occurrence"
4.05662681290001,"occurrence"
6.30240188550001,"occurrence"
6.3859543301,"occurrence"
6.03858618700001,"occurrence"
4.8369392193,"occurrence"
6.39956123379999,"occurrence"
4.34811598880001,"occurrence"
6.20895602890001,"occurrence"
6.5663581432,"occurrence"
5.73459693719999,"occurrence"
6.94142646479998,"occurrence"
6.89996145329999,"occurrence"
6.9255500054,"occurrence"
3.4096398989,"occurrence"
5.5198920508,"occurrence"
1.5388494546,"occurrence"
3.9245250992,"occurrence"
4.8934030781,"occurrence"
5.6639593737,"occurrence"
5.1159914036,"occurrence"
6.27010188989999,"occurrence"
6.7434685164,"occurrence"
6.6088350642,"occurrence"
6.72498348179999,"occurrence"
6.92231703809998,"occurrence"
6.75299657939999,"occurrence"
5.46259613589999,"occurrence"
6.63369585319999,"occurrence"
6.87844260909999,"occurrence"
6.42690498809999,"occurrence"
5.78748287369999,"occurrence"
6.32444614669999,"occurrence"
6.32278264799999,"occurrence"
6.58559588139999,"occurrence"
4.9178131971,"occurrence"
5.42691463809999,"occurrence"
5.63063827620001,"occurrence"
4.10283217349999,"occurrence"
3.3563743613,"occurrence"
6.86153680559999,"occurrence"
6.27587752179999,"occurrence"
6.84776572519999,"occurrence"
6.90142337969999,"occurrence"
6.35914097329999,"occurrence"
6.93489565769998,"occurrence"
6.87272640729999,"occurrence"
5.58383790879998,"occurrence"
3.99863926689999,"occurrence"
3.3593829907,"occurrence"
2.3467111969,"occurrence"
2.25958084439999,"occurrence"
4.68701808049999,"occurrence"
5.4780161396,"occurrence"
6.93338523269999,"occurrence"
6.0558263626,"occurrence"
6.31958648469999,"occurrence"
6.45514034819998,"occurrence"
5.15017020879999,"occurrence"
5.8913240018,"occurrence"
6.8406134392,"occurrence"
6.8880983265,"occurrence"
6.41622175169999,"occurrence"
6.34977282019999,"occurrence"
6.32977640909999,"occurrence"
6.65209246879999,"occurrence"
0.507870928799999,"occurrence"
5.8070475301,"sampling"
6.62582665910001,"sampling"
6.87477655599999,"sampling"
5.17229357240001,"sampling"
5.3490243996,"sampling"
6.30109794119999,"sampling"
6.8630132615,"sampling"
5.2514802623,"sampling"
5.71411030150001,"sampling"
5.59168526549999,"sampling"
5.2234493362,"sampling"
6.43831523579999,"sampling"
5.8211599562,"sampling"
3.8490258717,"sampling"
6.67177101360001,"sampling"
5.55734809650001,"sampling"
5.90969777940001,"sampling"
6.3473624652,"sampling"
6.50743720029999,"sampling"
5.2325139773,"sampling"
5.8368408852,"sampling"
6.55527003009999,"sampling"
6.41227832669999,"sampling"
3.8034148812,"sampling"
4.1545041848,"sampling"
6.26435260469999,"sampling"
6.44916345659999,"sampling"
6.83367847149999,"sampling"
5.7901264971,"sampling"
6.7179663461,"sampling"
6.29429693979998,"sampling"
6.8447500457,"sampling"
6.94933152412996,"rho"
6.94933152412996,"rho"
6.94933152412996,"rho"
6.94933152412996,"rho"
6.94933152412996,"rho"
6.94933152412996,"rho"
0.3928310702,"birth"
1.1389381088,"birth"
1.9324551521,"birth"
2.27635348780001,"birth"
4.9736824328,"birth"
5.00675025930001,"birth"
2.9253170806,"birth"
2.9953764033,"birth"
4.4702562057,"birth"
4.9256177832,"birth"
4.94302116539999,"birth"
5.80215553729999,"birth"
4.3648374659,"birth"
4.8363145315,"birth"
3.352285901,"birth"
3.56979471120001,"birth"
4.0791691282,"birth"
4.7031109186,"birth"
4.9106776242,"birth"
5.0892755151,"birth"
3.69715941710001,"birth"
5.30170543570001,"birth"
3.4700879314,"birth"
5.9257058601,"birth"
2.3771547547,"birth"
2.5238356557,"birth"
4.1906693667,"birth"
4.2979221776,"birth"
4.5605667519,"birth"
4.9046182581,"birth"
3.2735566948,"birth"
